id,cluster_id
FKID001141,7
FKID001142,4
FKID001143,7
FKID001144,32
FKID001145,32
FKID001146,32
FKID001147,7
FKID001148,-1
FKID001149,7
FKID001150,-1
FKID001151,12
FKID001152,12
FKID001153,-1
FKID001154,-1
FKID001155,-1
FKID001156,12
FKID001157,-1
FKID001158,-1
FKID001159,-1
FKID001160,-1
FKID001161,12
FKID001162,7
FKID001163,7
FKID001164,7
FKID001165,24
FKID001166,32
FKID001167,0
FKID001168,-1
FKID001169,12
FKID001170,24
FKID001171,-1
FKID001172,24
FKID001173,7
FKID001174,7
FKID001175,62
FKID001176,153
FKID001177,62
FKID001178,7
FKID001179,7
FKID001180,-1
FKID001181,-1
FKID001182,-1
FKID001183,65
FKID001184,15
FKID001185,12
FKID001186,41
FKID001187,65
FKID001188,51
FKID001189,12
FKID001190,12
FKID001191,120
FKID001192,0
FKID001193,86
FKID001194,86
FKID001195,51
FKID001196,51
FKID001197,51
FKID001198,51
FKID001199,51
FKID001200,21
FKID001201,106
FKID001202,83
FKID001203,21
FKID001204,21
FKID001205,50
FKID001206,50
FKID001207,83
FKID001208,50
FKID001209,50
FKID001210,50
FKID001211,50
FKID001212,0
FKID001213,50
FKID001214,50
FKID001215,56
FKID001216,56
FKID001217,-1
FKID001218,62
FKID001219,62
FKID001220,56
FKID001221,52
FKID001222,-1
FKID001223,41
FKID001224,41
FKID001225,56
FKID001226,32
FKID001227,41
FKID001228,0
FKID001229,41
FKID001230,41
FKID001231,41
FKID001232,-1
FKID001233,56
FKID001234,56
FKID001235,0
FKID001236,0
FKID001237,0
FKID001238,-1
FKID001239,0
FKID001240,87
FKID001241,87
FKID001242,32
FKID001243,0
FKID001244,21
FKID001245,21
FKID001246,21
FKID001247,41
FKID001248,52
FKID001249,-1
FKID001250,56
FKID001251,7
FKID001252,7
FKID001253,7
FKID001254,78
FKID001255,7
FKID001256,4
FKID001257,-1
FKID001258,-1
FKID001259,-1
FKID001260,21
FKID001261,21
FKID001262,21
FKID001263,-1
FKID001264,0
FKID001265,7
FKID001266,-1
FKID001267,21
FKID001268,21
FKID001269,7
FKID001270,21
FKID001271,12
FKID001272,-1
FKID001273,-1
FKID001274,21
FKID001275,21
FKID001276,12
FKID001277,14
FKID001278,4
